Movie_id,Movie_Name,Storyline,Budget,Language,Revenue,Image,Rating,Genre1,Genre2,Genre3,Cast1,Cast2,Cast3
1,Morbius,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",75000000,English,161000000,https://image.tmdb.org/t/p/w220_and_h330_face/6JjfSchsU6daXk2AKX8EEBjO3Fm.jpg,64,Action,Science Fiction,Fantasy,Jared Leto,Matt Smith,Adria Arjona
2,Yaksha: Ruthless Operations,"Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies.",0,Korean,0,https://image.tmdb.org/t/p/w220_and_h330_face/7MDgiFOPUCeG74nQsMKJuzTJrtc.jpg,61,Action,unknown,unknown,Sol Kyung-gu,Park Hae-soo,Hiroyuki Ikeuchi
3,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",15800000,Japanese,503063688,https://image.tmdb.org/t/p/w220_and_h330_face/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,84,Animation,Action,Adventure,Natsuki Hanae,Akari Kito,Hiro Shimono
4,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",50000000,English,253000000,https://image.tmdb.org/t/p/w220_and_h330_face/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,77,Animation,Comedy,Family,Stephanie Beatriz,María Cecilia Botero,John Leguizamo
5,Fortress: Sniper's Eye,"Weeks after the deadly assault on Fortress Camp, Robert makes a daring rescue to save Sasha, the widow of his old nemesis Balzary. But back in the camp's command bunker, it appears Sasha may have devious plans of her own. As a new attack breaks out, Robert is confronted with a familiar face he thought he'd never see again…",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/61J34xHVVdQHbJ4MSCWQo4e727v.jpg,60,Crime,Action,unknown,Chad Michael Murray,Bruce Willis,Jesse Metcalfe
6,The Outfit,"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",0,English,3186865,https://image.tmdb.org/t/p/w220_and_h330_face/lZa5EB6PVJBT5mxhgZS5ftqdAm6.jpg,70,Crime,Drama,Thriller,Mark Rylance,Johnny Flynn,Zoey Deutch
7,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",165000000,English,677700000,https://image.tmdb.org/t/p/w220_and_h330_face/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,74,Action,Adventure,Fantasy,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams
8,Ambulance,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.",40000000,English,50254920,https://image.tmdb.org/t/p/w220_and_h330_face/zT5ynZ0UR6HFfWQSRf2uKtqCyWD.jpg,70,Action,Thriller,Crime,Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González
9,Virus:32,A virus is unleashed and a chilling massacre runs through the streets of Montevideo.,0,Spanish,0,https://image.tmdb.org/t/p/w220_and_h330_face/wZiF79hbhLK1U2Pj9bF67NAKXQR.jpg,70,Horror,unknown,unknown,Daniel Hendler,Paula Silva,Franco Rilla
10,The Takedown,"Ousmane Diakité and François Monge are two cops with very different styles, backgrounds and careers. The unlikely pair are reunited once again for a new investigation that takes them across France. What seemed to be a simple drug deal turns out to be a much bigger criminal case wrapped in danger and unexpected comedy.",0,French,0,https://image.tmdb.org/t/p/w220_and_h330_face/h5hVeCfYSb8gIO0F41gqidtb0AI.jpg,58,Comedy,Action,unknown,Omar Sy,Laurent Lafitte,Izïa Higelin
11,Moonfall,A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,146000000,English,43900000,https://image.tmdb.org/t/p/w220_and_h330_face/odVv1sqVs0KxBXiA8bhIBlPgalx.jpg,65,Science Fiction,Adventure,Action,Halle Berry,Patrick Wilson,John Bradley
12,Turning Red,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",190000000,English,17185000,https://image.tmdb.org/t/p/w220_and_h330_face/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,75,Animation,Family,Comedy,Sandra Oh,Rosalie Chiang,Ava Morse
13,The Contractor,"After being involuntarily discharged from the U.S. Special Forces, James Harper decides to support his family by joining a private contracting organization alongside his best friend and under the command of a fellow veteran. Overseas on a covert mission, Harper must evade those trying to kill him while making his way back home.",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/rJPGPZ5soaG27MK90oKpioSiJE2.jpg,66,Action,Thriller,unknown,Chris Pine,Ben Foster,Gillian Jacobs
14,The Bad Guys,"When the infamous Bad Guys are finally caught after years of countless heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",80000000,English,182168000,https://image.tmdb.org/t/p/w220_and_h330_face/7qop80YfuO0BwJa1uXk1DXUUEwv.jpg,78,Animation,Comedy,Action,Sam Rockwell,Marc Maron,Awkwafina
15,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",200000000,English,1892000000,https://image.tmdb.org/t/p/w220_and_h330_face/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,81,Action,Adventure,Science Fiction,Tom Holland,Zendaya,Benedict Cumberbatch
16,Doctor Strange in the Multiverse of Madness,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",200000000,English,803000000,https://image.tmdb.org/t/p/w220_and_h330_face/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,74,Fantasy,Action,Adventure,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor
17,The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",185000000,English,768442517,https://image.tmdb.org/t/p/w220_and_h330_face/74xTEgt7R36Fpooo50r9T25onhq.jpg,78,Crime,Mystery,Thriller,Robert Pattinson,Zoë Kravitz,Paul Dano
