Language,Cast1,Cast2,Cast3,Genre1,Genre2,Genre3,Movie_Name,comb
English,Jared Leto,Matt Smith,Adria Arjona,Action,Science Fiction,Fantasy,Morbius,Morbius English Jared Leto Matt Smith Adria Arjona Action Science Fiction Fantasy
Korean,Sol Kyung-gu,Park Hae-soo,Hiroyuki Ikeuchi,Action,unknown,unknown,Yaksha: Ruthless Operations,Yaksha: Ruthless Operations Korean Sol Kyung-gu Park Hae-soo Hiroyuki Ikeuchi Action unknown unknown
Japanese,Natsuki Hanae,Akari Kito,Hiro Shimono,Animation,Action,Adventure,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train Japanese Natsuki Hanae Akari Kito Hiro Shimono Animation Action Adventure
English,Stephanie Beatriz,María Cecilia Botero,John Leguizamo,Animation,Comedy,Family,Encanto,Encanto English Stephanie Beatriz María Cecilia Botero John Leguizamo Animation Comedy Family
English,Chad Michael Murray,Bruce Willis,Jesse Metcalfe,Crime,Action,unknown,Fortress: Sniper's Eye,Fortress: Sniper's Eye English Chad Michael Murray Bruce Willis Jesse Metcalfe Crime Action unknown
English,Mark Rylance,Johnny Flynn,Zoey Deutch,Crime,Drama,Thriller,The Outfit,The Outfit English Mark Rylance Johnny Flynn Zoey Deutch Crime Drama Thriller
English,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Action,Adventure,Fantasy,Doctor Strange,Doctor Strange English Benedict Cumberbatch Chiwetel Ejiofor Rachel McAdams Action Adventure Fantasy
English,Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González,Action,Thriller,Crime,Ambulance,Ambulance English Jake Gyllenhaal Yahya Abdul-Mateen II Eiza González Action Thriller Crime
Spanish,Daniel Hendler,Paula Silva,Franco Rilla,Horror,unknown,unknown,Virus:32,Virus:32 Spanish Daniel Hendler Paula Silva Franco Rilla Horror unknown unknown
French,Omar Sy,Laurent Lafitte,Izïa Higelin,Comedy,Action,unknown,The Takedown,The Takedown French Omar Sy Laurent Lafitte Izïa Higelin Comedy Action unknown
English,Halle Berry,Patrick Wilson,John Bradley,Science Fiction,Adventure,Action,Moonfall,Moonfall English Halle Berry Patrick Wilson John Bradley Science Fiction Adventure Action
English,Sandra Oh,Rosalie Chiang,Ava Morse,Animation,Family,Comedy,Turning Red,Turning Red English Sandra Oh Rosalie Chiang Ava Morse Animation Family Comedy
English,Chris Pine,Ben Foster,Gillian Jacobs,Action,Thriller,unknown,The Contractor,The Contractor English Chris Pine Ben Foster Gillian Jacobs Action Thriller unknown
English,Sam Rockwell,Marc Maron,Awkwafina,Animation,Comedy,Action,The Bad Guys,The Bad Guys English Sam Rockwell Marc Maron Awkwafina Animation Comedy Action
English,Tom Holland,Zendaya,Benedict Cumberbatch,Action,Adventure,Science Fiction,Spider-Man: No Way Home,Spider-Man: No Way Home English Tom Holland Zendaya Benedict Cumberbatch Action Adventure Science Fiction
English,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Fantasy,Action,Adventure,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness English Benedict Cumberbatch Elizabeth Olsen Chiwetel Ejiofor Fantasy Action Adventure
English,Robert Pattinson,Zoë Kravitz,Paul Dano,Crime,Mystery,Thriller,The Batman,The Batman English Robert Pattinson Zoë Kravitz Paul Dano Crime Mystery Thriller
English,Tom Holland,Mark Wahlberg,Sophia Ali,Action,Adventure,unknown,Uncharted,Uncharted English Tom Holland Mark Wahlberg Sophia Ali Action Adventure unknown
English,Will Beinbrink,María Gabriela de Faría,Irán Castillo,Horror,unknown,unknown,The Exorcism of God,The Exorcism of God English Will Beinbrink María Gabriela de Faría Irán Castillo Horror unknown unknown
English,Alexander Skarsgård,Nicole Kidman,Claes Bang,Action,Adventure,Fantasy,The Northman,The Northman English Alexander Skarsgård Nicole Kidman Claes Bang Action Adventure Fantasy
English,Ben Schwartz,Idris Elba,Colleen O'Shaughnessey,Action,Science Fiction,Comedy,Sonic the Hedgehog 2,Sonic the Hedgehog 2 English Ben Schwartz Idris Elba Colleen O'Shaughnessey Action Science Fiction Comedy
English,Sandra Bullock,Channing Tatum,Daniel Radcliffe,Action,Adventure,Comedy,The Lost City,The Lost City English Sandra Bullock Channing Tatum Daniel Radcliffe Action Adventure Comedy
English,John Leguizamo,Adriana Barraza,Ramiro Meneses,Crime,Drama,unknown,Dark Blood,Dark Blood English John Leguizamo Adriana Barraza Ramiro Meneses Crime Drama unknown
English,Chris Pine,Thandiwe Newton,Jonathan Pryce,Thriller,Action,unknown,All the Old Knives,All the Old Knives English Chris Pine Thandiwe Newton Jonathan Pryce Thriller Action unknown
Spanish,Almudena Amor,Vera Valdez,Karina Kolokolchykova,Horror,unknown,unknown,The Grandmother,The Grandmother Spanish Almudena Amor Vera Valdez Karina Kolokolchykova Horror unknown unknown
English,Arnold Vosloo,Tumisho Masha,Thabo Rametsi,Action,Crime,Drama,Silverton Siege,Silverton Siege English Arnold Vosloo Tumisho Masha Thabo Rametsi Action Crime Drama
English,Anna-Maria Sieklucka,Michele Morrone,Simone Susinna,Romance,Drama,unknown,365 Days: This Day,365 Days: This Day English Anna-Maria Sieklucka Michele Morrone Simone Susinna Romance Drama unknown
English,Kevin Dillon,Bruce Willis,Leon,Action,Thriller,Crime,A Day to Die,A Day to Die English Kevin Dillon Bruce Willis Leon Action Thriller Crime
English,Matthew McConaughey,Reese Witherspoon,Scarlett Johansson,Animation,Comedy,Family,Sing 2,Sing 2 English Matthew McConaughey Reese Witherspoon Scarlett Johansson Animation Comedy Family
English,Matt McClure,Mollie Hindle,James Swanton,Horror,unknown,unknown,The Jack in the Box: Awakening,The Jack in the Box: Awakening English Matt McClure Mollie Hindle James Swanton Horror unknown unknown
Spanish,Mauricio Ochmann,Fiona Palomo,Sandra Echeverría,Comedy,Family,Romance,What a Father!,What a Father! Spanish Mauricio Ochmann Fiona Palomo Sandra Echeverría Comedy Family Romance
English,Tom Hardy,Woody Harrelson,Michelle Williams,Science Fiction,Action,Adventure,Venom: Let There Be Carnage,Venom: Let There Be Carnage English Tom Hardy Woody Harrelson Michelle Williams Science Fiction Action Adventure
English,Eddie Redmayne,Jude Law,Mads Mikkelsen,Action,Adventure,Fantasy,Fantastic Beasts: The Secrets of Dumbledore,Fantastic Beasts: The Secrets of Dumbledore English Eddie Redmayne Jude Law Mads Mikkelsen Action Adventure Fantasy
English,Liam Neeson,Emmy Raver-Lampman,Taylor John Smith,Action,Thriller,unknown,Blacklight,Blacklight English Liam Neeson Emmy Raver-Lampman Taylor John Smith Action Thriller unknown
Japanese,Daiki Yamashita,Nobuhiko Okamoto,Yuki Kaji,Animation,Action,Fantasy,My Hero Academia: World Heroes' Mission,My Hero Academia: World Heroes' Mission Japanese Daiki Yamashita Nobuhiko Okamoto Yuki Kaji Animation Action Fantasy
English,Simon Pegg,Vincent Tong,Aaron Harris,Animation,Comedy,Adventure,The Ice Age Adventures of Buck Wild,The Ice Age Adventures of Buck Wild English Simon Pegg Vincent Tong Aaron Harris Animation Comedy Adventure
English,Arie Thompson,William Baldwin,Noel Gugliemi,Science Fiction,Action,unknown,War of the Worlds: Annihilation,War of the Worlds: Annihilation English Arie Thompson William Baldwin Noel Gugliemi Science Fiction Action unknown
English,Ryan Reynolds,Walker Scobell,Mark Ruffalo,Action,Adventure,Comedy,The Adam Project,The Adam Project English Ryan Reynolds Walker Scobell Mark Ruffalo Action Adventure Comedy
English,Rebel Wilson,Justin Hartley,Angourie Rice,Comedy,Drama,unknown,Senior Year,Senior Year English Rebel Wilson Justin Hartley Angourie Rice Comedy Drama unknown
